name,ir,cap
5-96-5,69,3029
5-96-4,62,3065
5-96-3,54,3141
5-96-2,57,3092
5-96-1,89,2926
5-95-5,128,3017
5-95-4,58,3138
5-95-3,146,3029
5-95-2,70,3035
5-95-1,54,3070
5-94-5,87,3112
5-94-4,65,3086
5-94-3,65,3035
5-94-2,56,3059
5-94-1,51,3142
5-93-5,58,3100
5-93-4,94,3008
5-93-3,57,3038
5-93-2,52,3145
5-93-1,55,3098
5-92-5,57,3029
5-92-4,55,3042
5-92-3,50,3135
5-92-2,53,3096
5-92-1,59,3040
5-91-5,67,3045
5-91-4,62,3126
5-91-3,59,3083
5-91-2,67,3023
5-91-1,59,3065
5-90-5,66,3132
5-90-4,59,3125
5-90-3,71,3030
5-90-2,57,3085
5-90-1,62,3150
5-89-5,57,3135
5-89-4,83,3047
5-89-3,70,3061
5-89-2,56,3154
5-89-1,74,3113
5-88-5,68,3018
5-88-4,73,3034
5-88-3,54,3130
5-88-2,126,3077
5-88-1,67,3008
5-87-5,62,3050
5-87-4,63,3105
5-87-3,59,3103
5-87-2,56,3029
5-87-1,55,3041
5-86-5,51,3146
5-86-4,49,3114
5-86-3,53,3058
5-86-2,57,3076
5-86-1,53,3163
5-85-5,54,3141
5-85-4,86,3034
5-85-3,73,3050
5-85-2,57,3146
5-85-1,63,3115
5-84-5,88,3017
5-84-4,54,3073
5-84-3,50,3154
5-84-2,133,3067
5-84-1,76,3025
5-83-5,56,3063
5-83-4,55,3128
5-83-3,59,3110
5-83-2,56,3019
5-83-1,75,3047
5-82-5,52,3147
5-82-4,52,3122
5-82-3,53,3041
5-82-2,50,3090
5-82-1,51,3149
5-81-5,50,3116
5-81-4,57,3019
5-81-3,54,3073
5-81-2,48,3140
5-81-1,58,3099
2-25-5,60,3173
2-25-4,62,3109
2-31-3,59,3172
2-27-4,61,3174
2-21-3,56,3204
2-31-1,60,3164
2-31-4,119,3108
2-29-5,58,3160
2-33-5,56,3182
2-35-3,56,3165
2-23-1,60,3175
2-35-1,55,3205
2-26-2,60,3207
2-21-5,53,3177
2-29-1,52,3171
2-33-1,44,3165
2-34-3,62,3121
2-30-5,62,3141
2-21-1,59,3171
2-22-5,40,3183
2-30-3,84,3082
2-23-2,63,3079
2-27-1,55,3198
2-24-2,65,3165
2-34-2,66,3181
2-21-4,58,3090
2-23-5,62,3187
2-29-2,60,3162
2-29-3,55,3203
2-29-4,63,3066
2-33-3,49,3196
2-30-1,55,3152
2-24-3,54,3178
2-25-1,63,3174
2-27-2,86,3067
2-34-5,56,3169
2-22-2,55,3205
2-32-5,66,3102
2-32-4,63,3185
2-32-3,55,3167
2-32-2,56,3174
2-32-1,57,3110
2-24-4,53,3198
2-28-3,69,3141
2-31-2,100,3028
2-28-1,64,3111
2-26-4,57,3147
2-23-3,55,3171
2-22-4,48,3174
2-27-3,56,3168
2-35-4,57,3165
2-30-2,68,3173
2-35-2,61,3111
2-26-1,60,3170
2-35-5,68,3191
2-34-1,106,3077
2-22-3,55,3109
2-33-2,43,3168
2-36-1,81,3098
2-28-2,56,3190
2-33-4,57,3098
2-28-4,67,3210
2-21-2,52,3179
2-31-5,169,3161
2-24-5,58,3113
2-26-5,92,3140
2-34-4,56,3177
2-28-5,67,3210
2-26-3,64,3112
2-22-1,55,3172
2-30-4,59,3149
2-27-5,65,3197
2-24-1,70,3093
2-25-3,55,3204
2-25-2,57,3163
2-23-4,56,3173
6-101-4,54,3128
6-103-2,50,3180
6-107-1,73,3101
6-110-1,54,3182
6-101-1,51,3108
6-102-3,45,3128
6-109-3,53,3123
6-102-5,50,3180
6-110-2,52,3131
6-102-2,45,3128
6-106-4,49,3120
6-107-3,59,3101
6-108-2,55,3111
6-105-3,55,3119
6-109-4,53,3131
6-110-4,54,3120
6-102-4,53,3129
6-116-5,63,3119
6-116-4,55,3122
6-116-3,53,3178
6-116-2,54,3101
6-116-1,52,3121
6-115-5,56,3131
6-115-4,50,3188
6-115-3,53,3126
6-115-2,74,3096
6-115-1,53,3136
6-114-5,51,3176
6-114-4,55,3125
6-114-3,54,3117
6-114-2,49,3114
6-114-1,54,3144
6-113-5,40,3122
6-113-4,56,3127
6-113-3,56,3121
6-113-2,55,3176
6-113-1,54,3118
6-112-5,77,3107
6-112-4,54,3117
6-112-3,49,3168
6-112-2,50,3122
6-112-1,56,3122
6-111-5,54,3123
6-111-4,61,3163
6-111-3,54,3113
6-104-2,91,3082
6-108-1,65,3109
6-101-2,55,3183
6-101-3,56,3127
6-105-2,53,3159
6-109-1,52,3123
6-103-1,50,3180
6-111-2,59,3112
6-101-5,51,3133
6-105-4,53,3107
6-104-3,65,3143
6-106-3,53,3121
6-102-1,49,3176
6-111-1,53,3118
6-108-3,58,3170
6-104-1,63,3099
6-110-5,92,3146
6-106-6,53,3166
6-108-5,56,3111
6-106-1,66,3163
6-104-5,59,3102
6-107-4,57,3172
6-109-2,52,3176
6-105-1,50,3115
6-103-3,54,3140
6-104-4,62,3112
6-107-5,53,3128
6-106-2,59,3123
6-105-5,53,3119
6-109-5,52,3127
6-110-3,53,3117
6-103-5,61,3136
6-103-4,54,3184
6-107-2,60,3110
6-108-4,56,3102
4-76-5,60,3153
4-76-4,58,3220
4-76-3,57,3186
4-76-2,56,3144
4-76-1,56,3128
4-75-5,53,3206
4-75-4,52,3178
4-75-3,59,3160
4-75-2,65,3119
4-75-1,88,3148
4-74-5,60,3188
4-74-4,65,3100
4-74-3,50,3138
4-74-2,48,3200
4-74-1,41,3211
4-73-5,47,3145
4-72-5,60,3138
4-72-4,83,3061
4-72-3,57,3188
4-72-2,92,3134
4-72-1,65,3146
4-71-5,79,3173
4-71-4,57,3205
4-71-3,65,3148
4-71-2,64,3154
4-71-1,244,3147
4-70-5,60,3154
4-70-4,58,3139
4-70-3,61,3144
4-70-2,86,3157
4-70-1,57,3184
4-69-5,61,3149
4-69-4,68,3144
4-69-3,256,3150
4-69-2,56,3209
4-69-1,63,3184
4-68-5,54,3156
4-68-4,59,3212
4-68-3,52,3195
4-68-2,55,3155
4-68-1,66,3125
4-67-5,69,3182
4-67-4,60,3182
4-67-3,62,3147
4-67-2,63,3131
4-67-1,65,3198
4-66-5,61,3197
4-66-4,98,3154
4-66-3,71,3124
4-66-2,58,3178
4-66-1,55,3171
4-65-5,60,3172
4-65-4,92,3133
4-65-3,67,3200
4-65-2,58,3196
4-65-1,66,3157
4-64-5,65,3128
4-64-4,69,3171
4-64-3,57,3171
4-64-2,72,3118
4-64-1,62,3126
4-63-5,55,3207
4-63-4,53,3207
4-63-3,57,3158
4-63-2,83,3128
4-63-1,62,3192
4-62-5,58,3197
4-62-4,55,3169
4-62-3,61,3130
4-62-2,54,3211
4-62-1,52,3186
4-61-5,51,3163
4-61-4,57,3136
4-61-3,85,3151
4-61-2,69,3178
4-61-1,62,3156
3-43-2,55,3091
3-46-5,128,3099
3-44-3,95,3154
3-48-5,71,3100
3-44-5,102,3062
3-41-4,64,3079
3-51-5,66,3099
3-50-5,58,3173
3-52-1,70,3077
3-50-1,58,3191
3-50-3,59,3080
3-50-2,62,3105
3-46-1,68,3183
3-41-2,59,3195
3-47-5,59,3105
3-44-2,65,3086
3-47-2,50,3040
3-48-1,62,3073
3-42-3,71,3088
3-42-4,57,3115
3-55-1,83,2985
3-48-4,62,3142
3-55-3,71,3100
3-53-3,40,3149
3-46-2,58,3132
3-41-1,58,3103
3-49-4,82,3065
3-53-4,40,3149
3-45-3,55,3137
3-55-2,52,3088
3-51-4,60,3188
3-56-1,93,3033
3-42-2,51,3155
3-44-1,139,3072
3-45-4,55,3077
3-48-3,67,3201
3-46-3,73,3074
3-43-1,58,3144
3-55-4,57,3198
3-42-5,61,3192
3-45-5,62,3097
3-43-5,60,3147
3-50-4,87,3038
3-41-3,58,3142
3-42-1,54,3195
3-46-4,59,3080
3-43-3,53,3108
3-47-1,67,3112
3-51-1,59,3124
3-49-5,54,3098
3-54-5,85,3179
3-44-4,66,3122
3-54-4,52,3114
3-47-4,74,3159
3-53-1,45,3101
3-49-2,252,3154
3-45-2,56,3181
3-49-3,64,3151
3-51-2,63,3091
3-47-3,65,3086
3-54-1,66,3179
3-54-3,66,3066
3-49-1,57,3100
3-55-5,62,3133
3-53-2,54,3174
3-41-5,56,3107
3-43-4,57,3204
3-45-1,56,3086
3-54-2,57,3130
3-48-2,82,3081
3-53-5,74,3098
3-52-5,54,3098
3-52-4,61,3142
3-52-3,66,3197
3-52-2,58,3099
3-51-3,57,3098
1-3-2,66,3131
1-1-2,58,3141
1-2-1,59,3144
1-2-2,88,3056
1-5-4,56,3067
