MC3000-Set,Slot 1
Time [hh:mm:ss.SSS],Voltage [V],Current [A],Capacity [mAh],Power [W],Energy [Wh],BatteryTemperature [°C],BatteryRi [m?],SystemTemperature [°C]
             02:13:18.000,4.2,0.0,0,0.0,0.0,27.7,59,35.4
             02:13:23.000,4.1,-0.5,1,1.9,0.0,27.7,59,35.6
             02:17:39.000,4.0,-1.0,72,4.1,0.3,29.0,59,61.7
             02:43:59.000,3.9,-1.0,511,4.0,2.0,35.5,59,83.0
             03:02:26.000,3.8,-1.0,818,3.9,3.2,36.2,59,82.3
             03:26:56.000,3.7,-1.0,1226,3.8,4.8,36.1,59,80.8
             03:49:00.000,3.6,-1.0,1594,3.7,6.2,35.8,59,79.3
             04:11:59.000,3.5,-1.0,1978,3.6,7.5,35.5,59,77.7
             04:37:29.000,3.4,-1.0,2402,3.5,9.0,35.4,59,76.2
             04:58:48.000,3.3,-1.0,2758,3.4,10.2,35.2,59,74.6
             05:10:20.000,3.2,-1.0,2950,3.3,10.9,35.2,59,73.6
             05:17:21.000,3.1,-1.0,3067,3.2,11.2,35.3,59,72.6
             05:19:54.000,3.0,-1.0,3110,3.1,11.4,35.2,59,69.3



